env,baseline,seed,step,avg_return,std_return
CartPole-v1,value,1,130000,500.0,0.0
CartPole-v1,value,1,140000,500.0,0.0
CartPole-v1,value,1,150000,500.0,0.0
CartPole-v1,value,1,160000,497.4,5.2
CartPole-v1,value,1,170000,500.0,0.0
CartPole-v1,value,1,180000,425.6,86.18259685110445
CartPole-v1,value,1,190000,500.0,0.0
CartPole-v1,value,1,200000,493.2,13.6
CartPole-v1,value,2,10000,57.2,8.541662601625049
CartPole-v1,value,2,20000,415.8,111.2769517914649
CartPole-v1,value,2,30000,459.0,82.0
CartPole-v1,value,2,40000,500.0,0.0
CartPole-v1,value,2,50000,393.4,87.99227238797734
CartPole-v1,value,2,60000,450.6,60.60231018698875
CartPole-v1,value,2,70000,457.4,58.69105553659774
CartPole-v1,value,2,80000,491.2,17.6
CartPole-v1,value,2,90000,499.8,0.4
CartPole-v1,value,2,100000,500.0,0.0
CartPole-v1,value,2,110000,465.0,70.0
CartPole-v1,value,2,120000,500.0,0.0
CartPole-v1,value,2,130000,500.0,0.0
CartPole-v1,value,2,140000,500.0,0.0
CartPole-v1,value,2,150000,500.0,0.0
CartPole-v1,value,2,160000,492.6,14.8
CartPole-v1,value,2,170000,500.0,0.0
CartPole-v1,value,2,180000,500.0,0.0
CartPole-v1,value,2,190000,500.0,0.0
CartPole-v1,value,2,200000,500.0,0.0
CartPole-v1,gae,0,10000,57.4,3.261901286060018
CartPole-v1,gae,0,20000,225.8,93.36680352245118
CartPole-v1,gae,0,30000,433.4,60.08194404311499
CartPole-v1,gae,0,40000,462.2,46.60643732361443
CartPole-v1,gae,0,50000,347.0,77.92047227782953
CartPole-v1,gae,0,60000,477.4,45.2
CartPole-v1,gae,0,70000,287.6,106.2574232700944
CartPole-v1,gae,0,80000,405.6,78.25496789341875
CartPole-v1,gae,0,90000,420.2,80.77474852947547
CartPole-v1,gae,0,100000,415.6,71.30946641225133
CartPole-v1,gae,0,110000,403.6,80.9656717380891
CartPole-v1,gae,0,120000,500.0,0.0
CartPole-v1,gae,0,130000,280.0,111.70138763685974
CartPole-v1,gae,0,140000,458.0,51.536394906900505
CartPole-v1,gae,0,150000,427.2,90.24056737410288
CartPole-v1,gae,0,160000,500.0,0.0
CartPole-v1,gae,0,170000,382.2,105.02837711780565
CartPole-v1,gae,0,180000,346.4,128.6586180556903
CartPole-v1,gae,0,190000,414.4,80.19625926438215
CartPole-v1,gae,0,200000,233.6,23.728463919942225
CartPole-v1,gae,1,10000,38.4,4.63033476111609
CartPole-v1,gae,1,20000,500.0,0.0
CartPole-v1,gae,1,30000,456.8,54.55052703686739
CartPole-v1,gae,1,40000,404.4,86.0385959904042
CartPole-v1,gae,1,50000,500.0,0.0
CartPole-v1,gae,1,60000,489.2,21.6
CartPole-v1,gae,1,70000,490.6,18.8
CartPole-v1,gae,1,80000,478.4,43.2
CartPole-v1,gae,1,90000,430.0,72.74063513607783
CartPole-v1,gae,1,100000,497.8,4.4
CartPole-v1,gae,1,110000,468.6,30.394736386420593
CartPole-v1,gae,1,120000,265.4,121.8894581167707
