env,algorithm,seed,step,avg_return,std_return
LunarLander-v3,actor_critic_gae,1,10000,-606.3632435849607,243.49268517802366
LunarLander-v3,actor_critic_gae,1,11000,-652.0548326098975,248.3550058843597
LunarLander-v3,actor_critic_gae,1,12000,-679.137169296083,127.14180162984123
LunarLander-v3,actor_critic_gae,1,13000,-772.4026941930156,479.274710334792
LunarLander-v3,actor_critic_gae,1,14000,-541.65390696091,171.15102604396117
LunarLander-v3,actor_critic_gae,1,15000,-905.827801678785,336.90449875021574
LunarLander-v3,actor_critic_gae,1,16000,-969.1407578935153,397.742205645235
LunarLander-v3,actor_critic_gae,1,17000,-712.9616255048525,198.57076318352648
LunarLander-v3,actor_critic_gae,1,18000,-1016.3869419999526,364.1729253644405
LunarLander-v3,actor_critic_gae,1,19000,-560.978916878317,116.57237820767223
LunarLander-v3,actor_critic_gae,1,20000,-620.1868387387374,137.62654672431356
LunarLander-v3,actor_critic_gae,2,1000,-135.3460956812758,22.19604503762625
LunarLander-v3,actor_critic_gae,2,2000,-127.05251345225084,36.72798615251114
LunarLander-v3,actor_critic_gae,2,3000,-127.3710415500286,19.190611254161706
LunarLander-v3,actor_critic_gae,2,4000,-150.02770659202912,38.47015130141856
LunarLander-v3,actor_critic_gae,2,5000,-204.23043115331976,175.47718210655435
LunarLander-v3,actor_critic_gae,2,6000,-146.97034901022533,24.056172269901836
LunarLander-v3,actor_critic_gae,2,7000,-103.40601552144183,18.056784616034836
LunarLander-v3,actor_critic_gae,2,8000,-168.62134377063973,34.97567365301605
LunarLander-v3,actor_critic_gae,2,9000,-463.23684024372994,295.68468707150487
LunarLander-v3,actor_critic_gae,2,10000,-329.1664078729126,210.32891434233892
LunarLander-v3,actor_critic_gae,2,11000,-342.079306508585,276.597649535541
LunarLander-v3,actor_critic_gae,2,12000,-576.3052997243294,353.2511827228754
LunarLander-v3,actor_critic_gae,2,13000,-1123.1151342171313,615.7763009784134
LunarLander-v3,actor_critic_gae,2,14000,-1612.7855979484596,1385.32874360823
LunarLander-v3,actor_critic_gae,2,15000,-965.8123974091395,458.3914005693434
LunarLander-v3,actor_critic_gae,2,16000,-1323.20780903857,611.3460811935961
LunarLander-v3,actor_critic_gae,2,17000,-926.7473769581572,542.2813449275519
LunarLander-v3,actor_critic_gae,2,18000,-866.0445927875562,425.06854322931895
LunarLander-v3,actor_critic_gae,2,19000,-771.0747554803226,346.6170102677394
LunarLander-v3,actor_critic_gae,2,20000,-950.3344159821872,384.8510840515308
LunarLander-v3,ppo_vanilla,0,1000,-125.05028812842916,85.15293005177723
LunarLander-v3,ppo_vanilla,0,2000,-59.06325549153424,49.216506212076794
LunarLander-v3,ppo_vanilla,0,3000,-107.36801070338319,33.69244700366654
LunarLander-v3,ppo_vanilla,0,4000,-78.6873653836925,14.920170348119374
LunarLander-v3,ppo_vanilla,0,5000,-52.630020663657945,47.618868230980176
LunarLander-v3,ppo_vanilla,0,6000,-87.26623036349596,6.403813940003162
LunarLander-v3,ppo_vanilla,0,7000,-83.69092669375735,23.581457311521877
LunarLander-v3,ppo_vanilla,0,8000,-90.91907063606996,18.731990084050647
LunarLander-v3,ppo_vanilla,0,9000,-122.03195720576382,40.57169773980868
LunarLander-v3,ppo_vanilla,0,10000,-150.4649179925402,52.0132120804231
LunarLander-v3,ppo_vanilla,0,11000,-82.89057542848336,18.696010299174535
LunarLander-v3,ppo_vanilla,0,12000,-100.71173754398227,15.26886462373623
LunarLander-v3,ppo_vanilla,0,13000,-107.47746315045035,22.130480986978817
LunarLander-v3,ppo_vanilla,0,14000,-57.45468412485801,14.734726857627393
LunarLander-v3,ppo_vanilla,0,15000,-64.9682009057378,13.83278435557633
LunarLander-v3,ppo_vanilla,0,16000,-93.60856614419868,19.629978327108503
LunarLander-v3,ppo_vanilla,0,17000,-84.68026952111124,66.05515472397865
LunarLander-v3,ppo_vanilla,0,18000,-82.29555734157653,85.82804973615349
LunarLander-v3,ppo_vanilla,0,19000,-65.02369388495924,25.87234929277634
